tag,fold,side,thr_val,n_test_todas,mean_pl_test_todas,n_test_aceitas,win_rate_test,mean_pl_test,sum_pl_test
lstm_v2_base,1,buy,0.8,25286,5.37785005569458,812,0.6822660098522167,19.0048885345459,15431.9697265625
lstm_v2_base,1,sell,0.7,23688,-2.5486481189727783,870,0.7425287356321839,14.639768600463867,12736.5986328125
lstm_v2_base,2,buy,0.73,25286,5.37785005569458,416,0.7572115384615384,37.902347564697266,15767.376953125
lstm_v2_base,2,sell,0.76,23688,-2.5486481189727783,254,0.7440944881889764,0.21406975388526917,54.37371826171875
lstm_v2_base,3,buy,0.5,25286,5.37785005569458,12471,0.6159890946997033,7.553637504577637,94201.4140625
lstm_v2_base,3,sell,0.57,23688,-2.5486481189727783,9090,0.62002200220022,-1.8512595891952515,-16827.94921875
lstm_v2_base,4,buy,0.53,25286,5.37785005569458,8766,0.6627880447182295,12.3973970413208,108675.5859375
lstm_v2_base,4,sell,0.75,23688,-2.5486481189727783,688,0.7165697674418605,2.330148696899414,1603.142333984375
lstm_v2_base,5,buy,0.62,25286,5.37785005569458,6411,0.6838246763375448,12.947940826416016,83009.25
lstm_v2_base,5,sell,0.76,23688,-2.5486481189727783,491,0.7576374745417516,13.401151657104492,6579.96533203125
lstm_v2_seed2,1,buy,0.73,25286,5.37785005569458,1210,0.7347107438016529,42.01985549926758,50844.0234375
lstm_v2_seed2,1,sell,0.71,23688,-2.5486481189727783,375,0.6826666666666666,12.669291496276855,4750.984375
lstm_v2_seed2,2,buy,0.69,25286,5.37785005569458,1560,0.6865384615384615,4.796823024749756,7483.0439453125
lstm_v2_seed2,2,sell,0.75,23688,-2.5486481189727783,651,0.717357910906298,-1.6639161109924316,-1083.2093505859375
lstm_v2_seed2,3,buy,0.67,25286,5.37785005569458,3981,0.6907812107510676,16.048452377319336,63888.890625
lstm_v2_seed2,3,sell,0.7,23688,-2.5486481189727783,1461,0.7063655030800822,4.724281311035156,6902.17529296875
lstm_v2_seed2,4,buy,0.53,25286,5.37785005569458,13435,0.5955340528470413,5.257206916809082,70630.578125
lstm_v2_seed2,4,sell,0.75,23688,-2.5486481189727783,890,0.7269662921348314,0.25581637024879456,227.67657470703125
lstm_v2_seed2,5,buy,0.63,25286,5.37785005569458,5509,0.6605554547104737,8.605198860168457,47406.0390625
lstm_v2_seed2,5,sell,0.82,23688,-2.5486481189727783,136,0.7573529411764706,3.831855297088623,521.13232421875
