order,data_win,data_bova,data_diferente,ticks,cruzados,spread_max,amplitude,salto_max,suspeito
1,2021.04.26,2021.04.26,False,18060,0,30.0,1595.0,160.0,False
2,2021.04.27,2021.04.27,False,22205,0,35.0,2135.0,85.0,False
3,2021.04.28,2021.04.28,False,18299,0,50.0,1305.0,95.0,False
4,2021.04.29,2021.04.29,False,19417,0,35.0,1780.0,105.0,False
5,2021.04.30,2021.04.30,False,25914,0,15.0,1045.0,65.0,False
6,2021.05.03,2021.05.03,False,21486,0,15.0,1515.0,95.0,False
7,2021.05.04,2021.05.04,False,26540,0,25.0,1355.0,95.0,False
8,2021.05.05,2021.05.05,False,16000,0,30.0,1480.0,115.0,False
9,2021.05.06,2021.05.06,False,23879,0,20.0,970.0,60.0,False
10,2021.05.07,2021.05.07,False,13861,0,15.0,1540.0,65.0,False
11,2021.05.10,2021.05.10,False,18064,0,40.0,835.0,75.0,False
12,2021.05.11,2021.05.11,False,23983,0,25.0,2455.0,75.0,False
13,2021.05.12,2021.05.12,False,27031,0,30.0,2200.0,75.0,False
14,2021.05.13,2021.05.13,False,28301,0,20.0,1670.0,90.0,False
15,2021.05.14,2021.05.14,False,23943,0,25.0,1280.0,85.0,False
16,2021.05.17,2021.05.17,False,21771,0,20.0,1315.0,90.0,False
17,2021.05.18,2021.05.18,False,22312,0,15.0,1110.0,70.0,False
18,2021.05.19,2021.05.19,False,28069,0,35.0,1550.0,195.0,False
19,2021.05.20,2021.05.20,False,20331,0,35.0,700.0,60.0,False
20,2021.05.21,2021.05.21,False,14847,0,15.0,1055.0,45.0,False
21,2021.05.24,2021.05.24,False,12801,0,25.0,1540.0,90.0,False
22,2021.05.25,2021.05.25,False,17579,0,20.0,1995.0,120.0,False
23,2021.05.26,2021.05.26,False,14985,0,20.0,810.0,125.0,False
24,2021.05.27,2021.05.27,False,7786,0,15.0,1110.0,440.0,False
25,2021.05.28,2021.05.28,False,13403,0,20.0,1410.0,80.0,False
26,2021.05.31,2021.05.31,False,12502,0,15.0,550.0,55.0,False
27,2021.06.01,2021.06.01,False,15247,0,15.0,650.0,95.0,False
28,2021.06.02,2021.06.02,False,13830,0,20.0,1335.0,60.0,False
29,2021.06.04,2021.06.04,False,16540,0,15.0,1065.0,70.0,False
30,2021.06.07,2021.06.07,False,14794,0,15.0,1790.0,70.0,False
31,2021.06.08,2021.06.08,False,17190,0,20.0,1520.0,100.0,False
32,2021.06.09,2021.06.09,False,20497,0,15.0,1540.0,60.0,False
33,2021.06.10,2021.06.10,False,23406,0,15.0,1135.0,75.0,False
34,2021.06.11,2021.06.11,False,17658,0,30.0,1595.0,95.0,False
35,2021.07.13,2021.07.13,False,21577,0,20.0,2115.0,70.0,False
36,2021.07.14,2021.07.14,False,25549,0,25.0,1605.0,90.0,False
37,2021.07.15,2021.07.15,False,26080,0,30.0,2160.0,75.0,False
38,2021.07.16,2021.07.16,False,21210,0,30.0,2230.0,70.0,False
