sigma,Re,Ri,n,spread_med,d_med,SG_med,SL_med,SG/spread_med,win_bidask,win_mid,pl_bidask,pl_mid,pl_real,custo_spread(mid-bidask),spread_medio
1.4,0.5,0.5,15458.0,5.0,129.30029904330877,64.65014952165438,64.65014952165438,12.228495366063726,0.46804243757277786,0.5073748220985898,-3.401786968268049,1.496105544500832,-4.706947858713934,4.89789251276888,5.493272092120585
1.4,0.5,1.0,9339.0,5.0,121.64656127805938,60.82328063902969,121.64656127805938,11.556767663609936,0.6342220794517615,0.6615269300781669,-3.6298787827918497,1.028047353437388,-3.1234607559695897,4.6579261362292375,5.454545454545454
1.4,0.5,1.5,7061.0,5.0,117.19767677482741,58.59883838741371,175.79651516224112,11.202218629322306,0.7164707548505878,0.7411131567766606,-4.478245156452802,1.1476722327752724,-2.9202662512392012,5.625917389228075,5.422744653731766
1.4,0.75,0.5,10800.0,5.0,145.83126106455165,109.37344579841374,72.91563053227583,20.505686246335607,0.38287037037037036,0.4134259259259259,-2.1706224459542556,2.8520639492573494,-4.381481481481481,5.022686395211605,5.5569444444444445
1.4,0.75,1.0,6090.0,5.0,140.4867278728052,105.3650459046039,140.4867278728052,19.853129964759134,0.5461412151067323,0.5676518883415436,-2.7961647033001475,1.9533448095113368,-3.145320197044335,4.749509512811485,5.518062397372742
1.4,0.75,1.5,4291.0,5.0,137.55002066014276,103.16251549510707,206.32503099021415,19.42755122591989,0.634584013050571,0.6536937776742018,-4.190019555765053,0.6608733366229887,-3.522488930319273,4.850892892388042,5.454439524586343
1.4,0.9,0.5,8841.0,5.0,158.55135184414394,142.69621665972954,79.27567592207197,26.782117812101205,0.3455491460242054,0.3737133808392716,-1.9771659555211536,3.4847237783018,-4.688383667005994,5.461889733822954,5.587037665422463
1.4,0.9,1.0,4866.0,5.0,154.85757467333315,139.37181720599983,154.85757467333315,25.89250269629265,0.508425811755035,0.5283600493218249,-1.4525872779820088,4.176417968237131,-2.181463214138923,5.6290052462191404,5.574393752568845
1.4,0.9,1.5,3386.0,5.0,153.06032932412927,137.75429639171634,229.5904939861939,25.70719317800838,0.6015948021264028,0.6202008269344359,-1.3301068983363227,4.552001317723449,-1.1385115180153573,5.8821082160597715,5.518310691080922
1.6,0.5,0.5,12549.0,5.0,143.54060639998352,71.77030319999176,71.77030319999176,13.638958194297448,0.4734241772252769,0.5098414216272213,-2.9299450458865324,1.9588964673742095,-4.278428560044625,4.888841513260742,5.493266395728743
1.6,0.5,1.0,7630.0,5.0,135.58782454829634,67.79391227414817,135.58782454829634,12.970397004369442,0.6349934469200524,0.6612057667103539,-4.36599481540884,0.7894758639538223,-3.72608125819135,5.155470679362662,5.4692005242463955
1.6,0.5,1.5,5917.0,5.0,130.84397982092923,65.42198991046462,196.26596973139385,12.56101257125556,0.7191144160892344,0.736183876964678,-3.610562931302181,0.5576879164377918,-1.9300321108669933,4.168250847739973,5.410681088389387
1.6,0.75,0.5,9320.0,5.0,159.05362065293593,119.29021548970195,79.52681032646797,22.480409523094202,0.3871244635193133,0.4136266094420601,-1.6409240090195332,3.094080196833236,-3.9624463519313307,4.7350042058527695,5.5611587982832615
1.6,0.75,1.0,5343.0,5.0,152.41814764107403,114.31361073080552,152.41814764107403,21.582071822162835,0.5519371139809096,0.574957888826502,-2.1559005971796843,3.661057295010365,-2.395657870110425,5.816957892190049,5.514692120531537
1.6,0.75,1.5,3858.0,5.0,147.03304996266525,110.27478747199893,220.54957494399787,20.967680015127556,0.6381544841886988,0.6521513737687922,-3.384241710267347,0.9234618216009942,-2.5842405391394503,4.307703531868341,5.476931052358735
