Run,Fold,Modelo,Conjunto,P/L total (pts),R$,P/L médio/dia,IC95% médio/dia,Dias +,Negócios/dia,Acerto
v4 (50M),1,melhor-de-validação,validação,4685.0,937.0,312.3333333333333,[-519; 1.184],7/15,8.0,54.166666666666664
v4 (50M),1,melhor-de-validação,teste,-11342.5,-2268.5,-756.1666666666666,[-1.377; -140],3/15,5.933333333333334,41.57303370786517
v4 (50M),1,último,validação,4395.0,879.0,293.0,[-452; 1.056],8/15,6.533333333333333,54.08163265306123
v4 (50M),1,último,teste,-7140.0,-1428.0,-476.0,[-1.170; 198],6/15,5.466666666666667,46.34146341463415
v4 (50M),2,melhor-de-validação,validação,6115.0,1223.0,407.6666666666667,[30; 824],11/15,5.066666666666666,55.26315789473685
v4 (50M),2,melhor-de-validação,teste,-562.5,-112.5,-37.5,[-587; 532],6/15,4.2,50.79365079365079
v4 (50M),2,último,validação,4467.5,893.5,297.8333333333333,[-148; 741],10/15,4.6,56.52173913043478
v4 (50M),2,último,teste,4067.5,813.5,271.1666666666667,[-143; 691],10/15,3.4,62.745098039215684
v4 (50M),3,melhor-de-validação,validação,7262.5,1452.5,484.1666666666667,[-215; 1.164],9/15,2.466666666666667,59.45945945945946
v4 (50M),3,melhor-de-validação,teste,-840.0,-168.0,-56.0,[-464; 388],6/15,1.8666666666666667,46.42857142857143
v4 (50M),3,último,validação,-435.0,-87.0,-29.0,[-615; 571],8/15,2.533333333333333,68.42105263157895
v4 (50M),3,último,teste,-537.5,-107.5,-35.833333333333336,[-430; 391],6/15,2.2,57.57575757575758
v4-long (100M),1,melhor-de-validação,validação,17712.5,3542.5,1180.8333333333333,[675; 1.719],14/15,3.533333333333333,81.13207547169812
v4-long (100M),1,melhor-de-validação,teste,3807.5,761.5,253.83333333333334,[-293; 814],9/15,1.4,57.14285714285714
v4-long (100M),1,último,validação,13685.0,2737.0,912.3333333333334,[212; 1.562],11/15,7.333333333333333,73.63636363636363
v4-long (100M),1,último,teste,6140.0,1228.0,409.3333333333333,[-122; 964],10/15,1.8666666666666667,71.42857142857143
v4-long (100M),2,melhor-de-validação,validação,8462.5,1692.5,564.1666666666666,[223; 905],12/15,5.8,63.2183908045977
v4-long (100M),2,melhor-de-validação,teste,-3950.0,-790.0,-263.3333333333333,[-728; 208],4/15,4.933333333333334,45.94594594594595
v4-long (100M),2,último,validação,8582.5,1716.5,572.1666666666666,[235; 918],12/15,5.8,63.2183908045977
v4-long (100M),2,último,teste,-4080.0,-816.0,-272.0,[-677; 131],4/15,4.933333333333334,47.2972972972973
v4-long (100M),3,melhor-de-validação,validação,7262.5,1452.5,484.1666666666667,[-215; 1.164],9/15,2.466666666666667,59.45945945945946
v4-long (100M),3,melhor-de-validação,teste,-840.0,-168.0,-56.0,[-464; 388],6/15,1.8666666666666667,46.42857142857143
v4-long (100M),3,último,validação,-272.5,-54.5,-18.166666666666668,[-607; 587],8/15,1.0,53.333333333333336
v4-long (100M),3,último,teste,-412.5,-82.5,-27.5,[-424; 402],6/15,1.0,40.0
