Run,Fold,Conjunto,fee 0,"fee 0,5","fee 2,5 (treino)",latência 1 tick: P/L,latência 1 tick: negócios/dia
v4 (50M),1,validação,4985.0,4925.0,4685.0,-3420640.0,28867.866666666665
v4 (50M),1,teste,-11120.0,-11164.5,-11342.5,-3802632.5,31852.6
v4 (50M),2,validação,6305.0,6267.0,6115.0,-2076962.5,17730.866666666665
v4 (50M),2,teste,-405.0,-436.5,-562.5,-1572032.5,13343.8
v4 (50M),3,validação,7355.0,7336.5,7262.5,-1348965.0,11433.6
v4 (50M),3,teste,-770.0,-784.0,-840.0,-642670.0,5493.466666666666
v4-long (100M),1,validação,17845.0,17818.5,17712.5,-1095125.0,9262.133333333331
v4-long (100M),1,teste,3860.0,3849.5,3807.5,-740670.0,6333.466666666666
v4-long (100M),2,validação,8680.0,8636.5,8462.5,-1335600.0,11335.333333333334
v4-long (100M),2,teste,-3765.0,-3802.0,-3950.0,-1711617.5,14381.133333333331
v4-long (100M),3,validação,7355.0,7336.5,7262.5,-1348965.0,11433.6
v4-long (100M),3,teste,-770.0,-784.0,-840.0,-642670.0,5493.466666666666
